S.No.,Year,Name,CTC,CTC_LPA,CSE,CSM,ECE,EEE,IT,MECH,CIVIL,Total
7,2022,"VISA Inc.,",Rs.28.50 Lakhs p.a.,28.5,2,0,0,0,0,0,0,2
8,2022,Providence India,Internship 40K per month & Rs.27.00 Lakhs p.a.,27,1,0,1,0,4,0,0,6
9,2022,ServiceNow,Rs.26.00 Lakhs p.a.,26,2,0,0,0,0,0,0,2
10,2022,Deliveroo,Internship 75 K per month & Employment Rs.26.00 Lakhs p.a.,26,3,0,0,0,2,0,0,5
11,2022,"Oracle India Private Ltd., (Vertical : GBU)",Internship 50 K per month & Employment Rs 18.26 Lakhs p.a,18.26,11,0,2,0,8,0,0,21
12,2022,"Oracle India Private Ltd., (Vertical : NetSuite)",Rs 18.26 Lakhs p.a,18.26,3,0,1,0,2,0,0,6
13,2022,Darwin Box,Internship 25K per month & Employment Rs 16.50 Lakhs p.a,16.5,0,0,0,0,4,0,0,4
14,2022,Pega Systems,Internship 25 K per month & Employment Rs 15.50 Lakhs p.a,15.5,3,0,5,0,6,0,0,14
19,2022,NCR Corporation,Internship 30 K per month & Employment Rs 12.00 Lakhs p.a + 2L Bonus,12,1,0,5,1,3,1,0,11
20,2022,Futures First,Internship 25 K per month & Employment Rs.12.54 Lakhs p.a.,12.54,1,0,2,0,2,1,0,6
21,2022,AT&T Communication Services India Pvt. Ltd.,Internship 43 K per month & Employment Rs 11.50 Lakhs p.a,11.5,8,0,4,0,4,0,0,16
22,2022,IBM India,Internship 30 K per month & Employment Rs 11.50 Lakhs p.a,11.5,3,0,0,0,1,0,0,4
23,2022,FactSet,Internship 30 K per month & Employment Rs 10.30 Lakhs p.a,10.3,6,0,0,0,3,0,0,9
24,2022,Brane Enterprises (NSL Hub),Internship 30 K per month & Employment Rs 10.00 Lakhs p.a,10,13,0,10,0,10,0,0,33
25,2022,Brane Enterprises (NSL Hub),Internship 30 K per month & Employment Rs 10.00 Lakhs p.a,10,9,0,2,0,12,0,0,23
26,2022,NCR Corporation,Internship 30 K per month & Employment Rs 10.00 Lakhs,3.6,4,0,8,0,3,0,0,15
27,2022,Skillsoft,Rs.10.00 Lakhs p.a.,10,9,0,0,0,3,0,0,12
28,2022,DBS Asia Hub 2 (DAH2),Rs. 10.00 Lakhs p.a.,10,3,0,0,0,6,0,0,9
30,2022,Brane Enterprises (NSL Hub) (TF module),Employment Rs 10.00 Lakhs p.a,10,8,0,0,0,1,0,0,9
31,2022,Inncircles,Internship 25 K per month & Employment Rs 10.00 Lakhs p.a,10,2,0,2,0,3,0,0,7
32,2022,Micron Technology,Rs.10.00 Lakhs p.a.,10,1,0,0,0,3,0,0,4
33,2022,S & P Global,Rs.9.00 Lakhs p.a.,9,7,0,0,0,6,0,0,13
34,2022,Invesco,Rs.9.00 Lakhs p.a.,9,3,0,0,0,1,1,0,5
35,2022,Infosys - Specialist Programmer,Rs.9.00 Lakhs p.a.,9,0,0,0,1,0,0,0,1
